,name,solved,IK_total,IK_avg,plan_tries,wall_time
262,bookshelf_cage_0262,True,1,1.0,1,0.15731741799390875
263,bookshelf_cage_0263,True,29,29.0,1,2.4786333310185
264,bookshelf_cage_0264,True,3,3.0,1,0.14556373801315203
265,bookshelf_cage_0265,True,36,36.0,1,5.039294835005421
266,bookshelf_cage_0266,True,10,10.0,1,3.320531690987991
267,bookshelf_cage_0267,True,5,5.0,1,0.6366052369994577
268,bookshelf_cage_0268,True,5,5.0,1,2.4470193910237867
269,bookshelf_cage_0269,True,13,13.0,1,1.904413618001854
270,bookshelf_cage_0270,True,10,10.0,1,1.091571515018586
271,bookshelf_cage_0271,True,28,14.0,2,8.91392000101041
272,bookshelf_cage_0272,True,3,3.0,1,0.26765872800024226
273,bookshelf_cage_0273,True,2,2.0,1,0.1827613380155526
274,bookshelf_cage_0274,True,4,4.0,1,0.3819968780153431
275,bookshelf_cage_0275,True,7,7.0,1,0.4149895419832319
276,bookshelf_cage_0276,True,9,9.0,1,0.5460709460021462
277,bookshelf_cage_0277,True,6,6.0,1,0.724063486995874
278,bookshelf_cage_0278,True,7,7.0,1,1.6460570950002875
279,bookshelf_cage_0279,True,17,17.0,1,1.8872840929834638
280,bookshelf_cage_0280,True,4,4.0,1,1.4954259390069637
281,bookshelf_cage_0281,True,12,12.0,1,0.2799697250011377
282,bookshelf_cage_0282,True,4,4.0,1,0.3069619159796275
283,bookshelf_cage_0283,True,3,3.0,1,0.15090816601878032
284,bookshelf_cage_0284,True,6,6.0,1,0.7085287889931351
285,bookshelf_cage_0285,True,10,10.0,1,0.7495259289862588
286,bookshelf_cage_0286,True,4,4.0,1,0.24165634598466568
287,bookshelf_cage_0287,True,9,9.0,1,1.1725927559891716
288,bookshelf_cage_0288,True,8,4.0,2,3.2843460779986344
289,bookshelf_cage_0289,True,5,5.0,1,0.18722435500239953
290,bookshelf_cage_0290,True,3,3.0,1,0.6217514930176549
291,bookshelf_cage_0291,True,2,2.0,1,0.183415737003088
292,bookshelf_cage_0292,True,29,29.0,1,1.3859992130019236
293,bookshelf_cage_0293,True,1,1.0,1,0.09015343300416134
294,bookshelf_cage_0294,True,14,14.0,1,1.2441569549846463
295,bookshelf_cage_0295,True,1,1.0,1,0.43792953199590556
296,bookshelf_cage_0296,True,2,2.0,1,0.6421634540020023
297,bookshelf_cage_0297,True,8,4.0,2,3.4829896009759977
298,bookshelf_cage_0298,True,9,9.0,1,0.6043018529890105
299,bookshelf_cage_0299,True,3,3.0,1,0.4477540939988103
300,bookshelf_cage_0300,True,4,4.0,1,0.25007739997818135
301,bookshelf_cage_0301,True,6,6.0,1,1.0798146440065466
302,bookshelf_cage_0302,True,10,10.0,1,1.89409277800587
303,bookshelf_cage_0303,True,4,4.0,1,0.6278773240046576
304,bookshelf_cage_0304,True,7,7.0,1,1.5042189700179733
305,bookshelf_cage_0305,True,3,1.5,2,2.7652186540071853
306,bookshelf_cage_0306,True,10,10.0,1,2.033389489981346
307,bookshelf_cage_0307,True,1,1.0,1,0.7232128389878199
308,bookshelf_cage_0308,True,4,4.0,1,0.705524274992058
309,bookshelf_cage_0309,True,1,1.0,1,0.11795566900400445
310,bookshelf_cage_0310,True,6,3.0,2,4.255204913992202
311,bookshelf_cage_0311,True,22,22.0,1,3.857590519997757
312,bookshelf_cage_0312,True,41,41.0,1,2.621649318985874
313,bookshelf_cage_0313,True,10,5.0,2,4.311478785006329
314,bookshelf_cage_0314,True,4,4.0,1,0.17227953698602505
315,bookshelf_cage_0315,True,7,7.0,1,0.6638136929832399
316,bookshelf_cage_0316,True,1,1.0,1,0.32877775802626275
317,bookshelf_cage_0317,True,1,1.0,1,0.2503448959905654
318,bookshelf_cage_0318,True,7,7.0,1,0.6844513019896112
319,bookshelf_cage_0319,True,2,2.0,1,0.24330267499317415
320,bookshelf_cage_0320,True,10,10.0,1,1.2573144399793819
321,bookshelf_cage_0321,True,3,3.0,1,0.19680259801680222
322,bookshelf_cage_0322,True,6,6.0,1,1.6468496900051832
